,A,B,C,D,E,F,G,H,I,J,K,L,M,N
4.0,5397600,4847480,4772960,4738000,4840120,4738000,4790440,4930510,4738000,5722290,6147495,5418525,4280810,3896200
10.0,5383560,4925220,4935800,4961100,5145560,4961100,4864960,5005685,4961100,6064380,6167490,5110350,4536650,4334330
16.0,5026700,4113385,4074690,4008660,4160955,4117290,4117290,4117290,4125100,5196710,4810755,4325225,3866905,4310130
