,A,B,C,D,E,F,G,H,J,K,L
3.0,385,510,405,437,418,460,460,345,405,510,385
6.0,385,510,405,430,418,460,460,345,405,510,385
8.0,385,510,266,357,418,460,384,345,405,510,385
