,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4
2.0,795,833,806,603,,563,527,606,546,755
5.0,795,833,806,603,,563,527,606,581,755
8.0,795,554,806,603,935,563,821,606,581,755
