,1,2,3,4,5,6,7,8,D4,D6
3.0,10087,10372,10118,10071,10071,9868,10103,10241,10050,10096
6.0,10269,10576,10300,10253,10253,10046,10285,10439,10232,10277
10.0,10512,10832,10544,10496,10496,,10528,10706,10474,10520
