,A,B,C,E,F,H,J
8.0,6954282,6386850,6403460,6156215,6565177,5215200,5083064
17.0,7476267,6855030,6779760,6458845,6823618,5531400,5319244
25.0,7846596,7307550,7062780,6641165,7169037,5794000,5496428
