,A,B,C,C2A,D,E,F,G,H
3.0,7267986,5210205,7240887,4003585,5913369,5896947,5896947,6121890,5101144
8.0,7498026,5369793,7468134,4128540,6110916,6081936,6081936,6314156,5258872
12.0,7682058,5497635,7649172,4204585,6322470,5723117,6230217,6468270,5423808
