,1,10,11,12,1321,14,1410,1421,15,16,17,18,1806,1816,19,1909,1920,2,20,21,22,23,2414,27,28,3,4,422,5,507,6,7,710,8,818,9
7.0,10150,8959,9722,9725,9045,9725,8959,9045,9716,8978,9053,9558,9719,8978,9095,9728,9001,9722,9827,9045,8830,8850,9727,8907,9909,9725,9965,8830,9722,9719,9719,9664,8959,8903,9357,9728
14.0,11017,10011,10664,10666,10036,10666,9949,10036,10592,9971,10277,9864,10661,9971,10018,10668,9996,10664,10147,10036,9760,9652,10667,9892,10387,10666,10671,9760,10664,10661,10661,10300,9949,9319,9764,10668
21.0,10908,10542,10792,10796,10530,10796,10431,10530,10755,10455,10948,10359,10788,10455,10778,10800,10483,10792,10894,10530,10632,10165,10798,10365,10854,10796,10853,10207,10792,10788,10783,10450,10431,9706,10192,10800
