,A,A1,A2,B,B1,B2,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,S,T
7.0,1109,370,530,1119,395,410,780,575,700,545,545,530,519,885,750,470,850,630,730,850,570,570
14.0,1109,527,530,1119,395,410,780,575,700,345,545,530,519,595,470,470,464,630,700,675,570,570
22.0,820,527,530,438,395,410,746,489,459,540,540,518,519,595,470,470,464,630,735,705,565,570
