,A,A1,A2,B,B1,B2,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,S,T
7.0,14599,13056,13637,14884,13242,13656,12465,13429,12716,13518,13742,13637,13809,13979,12585,13427,15798,13044,12469,15791,13600,13540
14.0,15261,14578,14081,15572,13446,13865,12812,13993,13348,12598,13853,14299,14389,13745,13887,13887,14125,13512,13447,13297,14069,13988
22.0,16104,13875,14172,14476,14072,14520,13353,14113,14497,14301,14476,14435,14377,13904,14192,14192,14004,13815,13402,13285,14198,14027
