,1,12,2,3,4,5,6
9.0,9416400,24529470,9187480,6885590,8433880,6111690,8959260
20.0,10014000,26306140,9803440,7385680,9184240,6574620,9338580
30.0,10637400,27920970,10465420,7831590,9543040,7002450,10114040
