,1,2,3,4,5,6,B1,B2,B3,B5,B6
5.0,6454800,7816970,6242685,6351435,7669100,6636600,6538950,7662740,6195270,7646840,6423300
14.0,6754050,7940460,6545010,6682905,7940460,6972750,6861150,8046990,6533700,8059180,6781050
22.0,7055550,8291850,6821235,6973920,8291850,7048800,7008750,8239910,6813405,8283370,6932250
