,A,B,C,D,E,F,G,H,J
10.0,23709,23068,24366,24801,23294,22972,25558,24903,22632
20.0,24537,23633,23633,23633,23865,24302,29085,28252,22888
30.0,38257,31738,36053,25755,26008,26773,31954,32273,26508
