,A,B,C,D,E,F,G,H,HJ,J
5.0,14487,14839,14883,16304,15287,17856,15526,,,14883
12.0,15105,15471,15522,17051,15979,19842,16203,,,15522
20.0,16534,16847,17012,17995,16797,19482,17767,,,17012
