,1,2,3,5,6,C3,C5,C6
3.0,5086494,5081580,5159515,5081580,5086494,5239630,3931896,4772740
7.0,5207048,5202570,5291405,5202570,5207048,5372610,4025333,4886182
11.0,5328155,2371288,5439100,5323015,5328155,5499595,4119189,4999624
