,A,B,C,D,E,F,G,H,I,J,K,L,M
3.0,650,450,450,598,544,585,570,570,600,600,600,600,650
8.0,650,450,450,598,544,585,570,570,600,600,600,600,650
13.0,594,450,450,598,544,545,570,570,600,600,600,600,650
