,1,2,3,4,5,6,7,8
8.0,16156,16298,16507,15161,16233,16189,16224,16394
15.0,15490,16930,17096,15667,16914,16869,16905,17085
22.0,15890,16687,16783,16271,16512,16572,16507,17762
