,A,AB,B,C,D,E,F,G,GH,H
5.0,14075,17676,14121,13336,13388,13972,13747,14121,17676,14671
10.0,14473,18198,14222,13444,13559,14547,14119,14222,18198,15123
16.0,14664,18837,14660,13920,14102,15019,14560,14660,18837,15665
