,1044,1330,136,138,1838,236,238,260,30,32,34,36,38,40,42,44,540,56,58,60,62,64,66,668,68,70
4.0,11742,11742,11617,11617,11715,11617,11617,11781,12987,12025,10714,11617,11755,11932,12712,11742,11781,13060,13174,11781,11617,11918,11823,11823,11823,11859
10.0,12178,12178,12050,12050,12150,12050,12050,11160,13523,11175,11135,12050,11949,12328,12895,13783,11160,12262,11093,11160,13396,12134,11175,11175,11175,13970
17.0,12737,12737,12603,12603,12708,12603,12603,11666,14212,13524,11641,12708,12515,13723,11782,14277,11666,12929,11591,11666,12708,12682,11683,11681,11681,12933
