,A,B,C,D,E,F,G,H,I,J
4.0,30465660,22649940,30617040,29289120,32092200,31566650,19148250,35558400,29923810,35182340
10.0,31923780,23966460,32019480,31556840,33660000,33009390,20024290,37153920,31709170,36600380
17.0,33479340,25034580,33484560,32993040,35215200,34615020,21043110,39048960,33267900,38474940
