,A,B,C,D,D2,E,F,G,H,I,J,J1,J2,K,L,M,N,O,P,Q,R,S,T,U,V
4.0,21683,22617,22617,19382,22340,22617,20321,22397,22083,22037,19907,,,21507,18958,18900,23501,23170,21237,21946,22688,18762,22224,19982,22548
6.0,20806,21039,21104,19354,22644,20379,22108,22997,20764,21789,20115,,,20939,20323,22118,20800,22256,21520,21485,22975,20885,22495,21479,22997
9.0,23109,21189,23360,19951,23102,19565,20827,19322,19504,23042,20434,,,22784,23030,23381,23613,20834,23000,25128,19532,19717,22336,21456,22994
