,A,B,C,D,E,F,G,H,I,J,K
5.0,9244,9743,9902,9714,10301,10840,10638,8421,11090,10495,10514
10.0,9882,10029,10190,9995,10594,11164,10960,8677,10805,10805,10825
16.0,10227,10716,10547,10526,10962,11553,11346,8996,11177,11177,11197
