,A,B,C,D,E,F,G,H,I,J,K,L,M,N
6.0,1173,1314,1265,797,810,533,533,812,934,812,797,797,533,533
12.0,1173,1337,1173,797,858,533,533,812,946,812,903,814,533,533
19.0,907,1356,1152,797,622,513,470,647,946,800,622,622,513,533
