,A,B,C,D,E,F,G,H,J
10.0,16386790,14412450,13361136,13862208,20449009,22027512,23178573,20138560,20779560
20.0,17080435,14424990,13830831,14901764,20980471,20653776,21297358,20372352,20827905
30.0,55195207,16220625,25264680,42181620,22937058,22887499,24309884,22081164,22770495
