,1,2,3,4,5,6,B1,B2,B3,B5,B6
5.0,14344,14749,14351,14601,14470,14748,14531,14458,14242,14428,14274
14.0,15009,14982,15046,15363,14982,15495,15247,15183,15020,15206,15069
22.0,15679,15645,15681,16032,15645,15664,15575,15547,15663,15629,15405
