,1,2,3,4,5,6,7,8,A1,A4,A5,A6,A7,A8
4.0,5926752,5519880,5557950,5671080,5671080,5671080,5519880,5926752,5693376,4184632,5456205,5651610,5492520,5926752
8.0,6077760,5661240,5699975,5816220,5816220,5816220,5661240,6077760,5802576,3942636,5598285,5794980,5633310,6077136
11.0,6195072,5771250,5670540,3814972,4042021,5653785,5771250,6195072,6044688,4016164,5327445,5790260,5742180,6193200
