,A,B,C,D,E,F,G,H
10.0,20841288,22566660,15785660,20434320,16291662,20135464,23695812,20463036
20.0,22912392,22878577,17307840,22464824,17307306,22181860,23402205,21343434
30.0,47653603,35739270,40227642,24771664,38366208,35294511,40064843,23223606
