,1,2,3,4,5,6,7,8,D4,D6
3.0,5699155,5704600,5615490,5740470,5740470,5624760,5556650,5786165,5728500,5754720
6.0,5801985,5816800,5716500,5844210,5844210,5726220,5656750,5898035,5832240,5857890
10.0,5939280,5957600,5851920,5982720,5982720,,5790400,6048890,5970180,5996400
