,A,C,D,E,F,H,J,K,L,M,N
7.0,25181,26818,26236,25777,25616,23422,24732,23865,25317,25099,25576
16.0,25420,27554,28880,26368,26427,25583,27308,26019,25835,25921,26377
22.0,25802,28696,29941,27344,27665,27760,26498,27131,27106,26921,27104
