,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4
2.0,14370,12411,15926,12970,,16342,16129,16141,16112,15507
5.0,14651,12760,16226,13201,,16649,16429,16445,16563,15798
8.0,14965,16994,16526,13435,17275,16956,16613,16748,16869,16089
