,14,7,C16,C3,C5,C7,C8,C9
6.0,26690580,26310984,26310984,26310984,26690580,26310984,26310984,26310984
10.0,27344240,26955744,26955744,26955744,27344240,26955744,26955744,26955744
14.0,27997900,27600504,27600504,27600504,27997900,27600504,27600504,27600504
