,A,B,C,D,E,F,G,H,I,J,K,L
6.0,14051,14792,14792,14792,14792,14906,14611,11561,14959,14959,12149,14985
11.0,14512,15246,15246,15246,15246,15363,15059,11905,15417,15417,12510,15444
16.0,14945,15699,15699,15699,15699,15819,15507,15531,15876,15876,12871,12358
