,AB,C,D,E & F,EF,GH
4.0,15724005,6403415,6868780,16830220,13279835,17574025
10.0,16361260,6563040,7132510,17472060,13228910,17472060
16.0,16911140,6804336,7387980,18115030,13683170,17188410
