,A,C,D,E,F,H,J,K,L,M,N
7.0,365,181,205,205,181,365,258,257,250,263,258
16.0,365,181,205,205,181,365,258,257,250,263,258
22.0,365,181,205,205,181,365,258,257,250,263,258
