,A,B,C,D,E,F,G,H,I,J,K,L,M,N
6.0,10923,11468,9402,8516,8764,9094,9257,9012,10558,8770,8931,8877,9094,9127
12.0,9932,10286,9441,9086,10551,9450,9614,9515,10822,9121,10711,9409,9450,9477
19.0,10884,10785,10051,9704,11691,11337,10204,11278,11230,9732,11491,11425,11337,9824
