,A,B,BC,C,D,E,F,G,H
4.0,4472280,4399725,8637750,4894725,4439325,4324925,4570500,4453900,4455810
11.0,4586220,4660700,9038700,4987950,4669225,4418425,4671150,4647500,4641570
18.0,4776300,8006760,9440200,5160650,4805900,4622200,4906825,4838900,4831650
