,A,B,C,CD,D,E,F,G,H
16.0,23923,24182,24053,,23315,21962,21732,21962,23528
28.0,26497,26554,26580,,25527,25560,23552,25560,26134
41.0,28721,29164,28783,,27921,28291,27296,28291,28129
