,A,AB,B,C,D,E,F,G,GH,H
5.0,600,1140,540,540,600,600,540,540,1140,600
10.0,600,1140,540,540,600,600,540,540,1140,600
16.0,600,1140,540,540,600,600,540,540,1140,600
