,A,B,C,D,E,F,G,H,I,J,K,L,M,N
6.0,12812679,15068952,11893530,6787252,7098840,4847102,4933981,7317744,9861172,7121240,7118007,7074969,4847102,4864691
12.0,11650236,13752382,11074293,7241542,9052758,5036850,5124262,7726180,10237612,7406252,9672033,7658926,5036850,5051241
19.0,9871788,14624460,11578752,7734088,7271802,5815881,4795880,7296866,10623580,7785600,7147402,7106350,5815881,5236192
