,A,ADG,B,C,D,E,F,G,H,REMARK
8.0,6763890,23904580,6946400,7489645,7377545,7377545,7720365,7208880,6791790,
18.0,6817800,25580660,7383400,7973745,14432040,8294640,7383400,6890400,7218660,
28.0,7227000,27284480,7820400,8465055,15384600,8787375,7820400,7297840,5525865,
