,A,B,C,D,E,whole floor
3.0,7676760,9830660,9376510,5218700,5894100,7057078
6.0,7832760,11614300,11059750,5320820,6048680,7199081
10.0,6683300,11880900,7671440,5407224,5686720,7586056
