,A,B,C,D,E,F,G,H,I,J,K,L,M
3.0,5745350,4358700,4370400,5404126,5282784,5333445,5214360,5214360,5417400,5417400,5346000,5417400,5664750
8.0,5914350,4505850,4505850,5562596,5445440,5492565,5366550,5366550,5576400,5576400,5506800,5576400,5830500
13.0,5696460,4639950,4639950,5725252,5607552,5584615,5523300,5523300,5739000,5739000,5672400,5739000,6001450
