WKT,type
"POINT (114.152898604723 22.2706287462145)",drawing-graphic
"POINT (114.149791835311 22.276668170475)",drawing-graphic
"POLYGON ((114.157440292907 22.2767555481319,114.175657603609 22.27261504762,114.176306553353 22.2706305079189,114.176306556064 22.2698970897031,114.176306556382 22.2698108052027,114.176306556542 22.2697676629522,114.168983370969 22.2617861542257,114.168612577791 22.2617429936117,114.166758606062 22.2616566047255,114.166526858968 22.2616565902004,114.1561427506 22.2741668549542,114.157254881349 22.2767123836789,114.157440292907 22.2767555481319))",drawing-graphic
