,final_address_floor_unit,final_address,floor,unit,instr_date,remark1,remark2,remark_all,bayWidow,has_BW,balcony,has_BAL,F/R:,FR:,has_FR,roof,has_roof,UTILITY_PLATFORM:,UP:,has_UP:,acPlatform:,has_acPlatfrom,garden,has_GDN,plantRoom:,has_RM,yard,has_YD,has_CPS,is_duplex,below_market_trans,flatRoof,utilityPlatform
0,"AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街_1_A","AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街",1,A,2012-03-23,CPS 31 ON LG/F ,blank,"CPS 31 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
1,"AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街_1_B","AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街",1,B,2009-08-28,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
2,"AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街_1_C","AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街",1,C,2019-03-13,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
3,"AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街_2_A","AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街",2,A,2009-07-22,CPS 7 ON LG/F ,blank,"CPS 7 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
4,"AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街_2_B","AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街",2,B,2009-07-29,CPS 10 ON LG/F ,blank,"CPS 10 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
5,"AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街_2_C","AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街",2,C,2017-04-07,CPS 41 ON LG/F ,blank,"CPS 41 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
6,"AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街_3_A","AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街",3,A,2019-07-02,blank,RF:1478 SF / ,"blank,RF:1478 SF / ",,False,,False,,,False,1478,False,,,False,,False,,False,,False,,False,False,False,False,,
7,"AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街_3_B","AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街",3,B,2009-07-21,+F/RCPS 40 ON LG/F ,blank,"+F/RCPS 40 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
8,"AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街_3_C","AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街",3,C,2009-09-24,+RF:1087 SF ,blank,"+RF:1087 SF ,blank",,False,,False,,,False,1087,False,,,False,,False,,False,,False,,False,False,False,False,,
9,"AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街_G_A","AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街",G,A,2012-09-11,CPS 2 ON LG/F ,blank,"CPS 2 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
10,"AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街_G_B","AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街",G,B,2009-09-07,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
11,"AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街_G_C","AQUA 33(Block 2),CONSORT RISE|AQUA 332座,金粟街",G,C,2010-01-08,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
12,"AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街_1_A","AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街",1,A,2018-04-17,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
13,"AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街_1_B","AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街",1,B,2016-10-06,CPS 42 ON LG/F ,blank,"CPS 42 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
14,"AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街_1_C","AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街",1,C,2009-09-17,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
15,"AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街_2_A","AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街",2,A,2018-03-14,blank,RF:1618 SF / ,"blank,RF:1618 SF / ",,False,,False,,,False,1618,False,,,False,,False,,False,,False,,False,False,False,False,,
16,"AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街_2_B","AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街",2,B,2019-04-17,blank,RF:1726 SF / ,"blank,RF:1726 SF / ",,False,,False,,,False,1726,False,,,False,,False,,False,,False,,False,False,False,False,,
17,"AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街_2_C","AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街",2,C,2017-04-21,+RF:1087 SFCPS 13 ON LG/F ,blank,"+RF:1087 SFCPS 13 ON LG/F ,blank",,False,,False,,,False,1087,False,,,False,,False,,False,,False,,False,True,False,False,,
18,"AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街_G_A","AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街",G,A,2018-07-27,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
19,"AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街_G_B","AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街",G,B,2017-10-09,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
20,"AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街_G_C","AQUA 33(Block 3),CONSORT RISE|AQUA 333座,金粟街",G,C,2009-10-19,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
21,"AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街_1_A","AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街",1,A,2017-04-28,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
22,"AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街_1_B","AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街",1,B,2009-08-07,CPS 33 ON LG/F ,blank,"CPS 33 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
23,"AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街_1_C","AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街",1,C,2010-01-08,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
24,"AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街_2_A","AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街",2,A,2018-09-17,blank,RF:1478 SF / ,"blank,RF:1478 SF / ",,False,,False,,,False,1478,False,,,False,,False,,False,,False,,False,False,False,False,,
25,"AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街_2_B","AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街",2,B,2009-08-07,+RF:1960 SFCPS 28 ON G/F ,blank,"+RF:1960 SFCPS 28 ON G/F ,blank",,False,,False,,,False,1960,False,,,False,,False,,False,,False,,False,True,False,False,,
26,"AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街_2_C","AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街",2,C,2009-07-22,CPS 11 ON LG/F ,blank,"CPS 11 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
27,"AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街_G_A","AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街",G,A,2015-05-04,CPS 9 ON LG/F ,blank,"CPS 9 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
28,"AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街_G_B","AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街",G,B,2010-11-30,CPS 1 ON LG/F ,blank,"CPS 1 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
29,"AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街_G_C","AQUA 33(Block 4),CONSORT RISE|AQUA 334座,金粟街",G,C,2010-01-06,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
30,"BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道_10_B","BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道",10,B,1999-09-30,DUPLEX UNIT+RF:1390 SFCPS 36 ON LG/F ,blank,"DUPLEX UNIT+RF:1390 SFCPS 36 ON LG/F ,blank",,False,,False,,,False,1390,False,,,False,,False,,False,,False,,False,True,True,False,,
31,"BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道_1_A","BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道",1,A,1997-03-11,CPS 3939A ON LG/F ,blank,"CPS 3939A ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
32,"BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道_1_B","BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道",1,B,2013-10-21,CPS 28 ON LG/FOF BLK 16-18 ,blank,"CPS 28 ON LG/FOF BLK 16-18 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
33,"BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道_2_A","BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道",2,A,2010-04-07,CPS 64 ON LG/F ,blank,"CPS 64 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
34,"BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道_3_A","BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道",3,A,2011-04-11,CPS 27 ON LG/F ,blank,"CPS 27 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
35,"BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道_3_B","BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道",3,B,2019-03-14,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
36,"BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道_4_B","BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道",4,B,2020-09-10,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
37,"BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道_6_B","BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道",6,B,2020-04-08,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
38,"BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道_7_A","BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道",7,A,1997-05-26,CPS 50 ON LG/F ,blank,"CPS 50 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
39,"BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道_8_A","BAGUIO VILLA(Block 16),VICTORIA RD|碧瑤灣16座,域多利道",8,A,2017-04-22,CPS 41 ON LG/F ,blank,"CPS 41 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
40,"BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道_10_B","BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道",10,B,2004-12-20,CPS 23 ON LG/F+RF:1390 SF ,blank,"CPS 23 ON LG/F+RF:1390 SF ,blank",,False,,False,,,False,1390,False,,,False,,False,,False,,False,,False,True,False,False,,
41,"BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道_1_A","BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道",1,A,2004-03-09,CPS 24 ON LG/F ,blank,"CPS 24 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
42,"BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道_1_B","BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道",1,B,2000-09-30,CPS 58 ON LG/F ,blank,"CPS 58 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
43,"BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道_2_B","BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道",2,B,2009-05-17,CPS 25 ON LG/F ,blank,"CPS 25 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
44,"BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道_3_B","BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道",3,B,2000-09-22,CPS 57 ON LG/F ,blank,"CPS 57 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
45,"BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道_4_A","BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道",4,A,2016-09-02,CPS 53 ON LG/FOF BLK 16-18 ,blank,"CPS 53 ON LG/FOF BLK 16-18 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
46,"BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道_4_B","BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道",4,B,2016-02-05,CPS 66 ON LG/F ,blank,"CPS 66 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
47,"BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道_5_A","BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道",5,A,2001-05-29,CPS 19 ON LG/F ,blank,"CPS 19 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
48,"BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道_6_A","BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道",6,A,2020-04-02,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
49,"BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道_6_B","BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道",6,B,2009-09-28,CPS 74 ON LG/F ,blank,"CPS 74 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
50,"BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道_7_A","BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道",7,A,1997-07-19,CPS 52 ON LG/F ,blank,"CPS 52 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
51,"BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道_7_B","BAGUIO VILLA(Block 17),VICTORIA RD|碧瑤灣17座,域多利道",7,B,2008-01-16,CPS 55 ON LG/F ,blank,"CPS 55 ON LG/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
