interval,size_factor,size_p,adjR2,sample_size,low_bound,up_bound
"(0, 300]",-0.2186865562162186,0.0,0.030394228082763153,3264,0,300
"(300, 400]",-0.035322192605641484,0.39190278117849053,-0.0004552661771868305,1078,300,400
"(400, 550]",-0.19806627745390545,0.0,0.02646692517859628,3210,400,550
"(550, 800]",0.054563712924119885,0.010651149996298015,0.00019570016358183562,2479,550,800
"(800, 100000]",0.07611902392679143,0.06603984638893845,0.004361760144859561,538,800,100000
"(0, 100000]",-0.09267849495324677,0.0,0.005939224411400268,10569,0,100000
