,final_address_floor_unit,final_address,floor,unit,instr_date,remark1,remark2,remark_all,bayWidow,has_BW,balcony,has_BAL,F/R:,FR:,has_FR,roof,has_roof,UTILITY_PLATFORM:,UP:,has_UP:,acPlatform:,has_acPlatfrom,garden,has_GDN,plantRoom:,has_RM,yard,has_YD,has_CPS,is_duplex,below_market_trans,flatRoof,utilityPlatform
0,1 PERTH ST|1 巴富街_10_whole floor,1 PERTH ST|1 巴富街,10,whole floor,2009-04-22,CPS 4 ON G/F ,blank,"CPS 4 ON G/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
1,1 PERTH ST|1 巴富街_11_1,1 PERTH ST|1 巴富街,11,1,1998-04-28,CPS 16 ,blank,"CPS 16 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
2,1 PERTH ST|1 巴富街_11_whole floor,1 PERTH ST|1 巴富街,11,whole floor,2013-09-27,CPS 16 ,blank,"CPS 16 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
3,1 PERTH ST|1 巴富街_12_whole floor,1 PERTH ST|1 巴富街,12,whole floor,2005-05-25,+RFCPS 8 ,blank,"+RFCPS 8 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
4,1 PERTH ST|1 巴富街_1_whole floor,1 PERTH ST|1 巴富街,1,whole floor,2017-06-19,CPS 14 ,blank,"CPS 14 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
5,1 PERTH ST|1 巴富街_4_whole floor,1 PERTH ST|1 巴富街,4,whole floor,2008-02-24,CPS 1 ,blank,"CPS 1 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
6,1 PERTH ST|1 巴富街_6_whole floor,1 PERTH ST|1 巴富街,6,whole floor,2016-10-13,CPS 9 ,blank,"CPS 9 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
7,1 PERTH ST|1 巴富街_8_1,1 PERTH ST|1 巴富街,8,1,1999-09-21,CPS 11 ,blank,"CPS 11 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
8,1 PERTH ST|1 巴富街_8_whole floor,1 PERTH ST|1 巴富街,8,whole floor,2015-04-30,CPS 11 ,blank,"CPS 11 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
9,1 PERTH ST|1 巴富街_9_whole floor,1 PERTH ST|1 巴富街,9,whole floor,2010-05-08,CPS 12 ,blank,"CPS 12 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
10,108A BOUNDARY ST|108A 界限街_1_A,108A BOUNDARY ST|108A 界限街,1,A,2019-12-09,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
11,108A BOUNDARY ST|108A 界限街_2_A,108A BOUNDARY ST|108A 界限街,2,A,2019-09-30,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
12,108A BOUNDARY ST|108A 界限街_G_A,108A BOUNDARY ST|108A 界限街,G,A,2017-05-23,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
13,11 LIBERTY AVE|11 自由道_2_whole floor,11 LIBERTY AVE|11 自由道,2,whole floor,2018-05-03,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
14,11 LIBERTY AVE|11 自由道_5_whole floor,11 LIBERTY AVE|11 自由道,5,whole floor,2017-11-01,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
