interval,size_factor,size_p,adjR2,sample_size,low_bound,up_bound
"(0, 300]",-0.4217124644555256,0.0,0.04004712190231263,1327,0,300
"(300, 400]",-0.025880996011621842,0.033598128240440284,0.0004062493277704471,8113,300,400
"(400, 550]",-0.013938299200833988,0.23919548266936452,-0.0010120363654364528,9376,400,550
"(550, 800]",0.20111242719318526,8.43769498715119e-15,0.01169646039496286,3522,550,800
"(800, 100000]",0.3775674213993751,6.661338147750939e-16,0.08983784075688028,744,800,100000
"(0, 100000]",0.003017088849940162,0.6986613513938957,-0.0018805154871990304,23082,0,100000
