,0
1997-1,100.0
1997-2,105.06180041237809
1997-3,111.87751215331458
1997-4,112.78308933593497
1997-5,124.38003803800896
1997-6,142.13545362317242
1997-7,124.53126851148875
1997-8,130.65231279022146
1997-9,128.1856772633124
1997-10,132.28967394569614
1997-11,127.84020488167951
1997-12,118.59518659881493
1998-1,104.11492419369475
1998-2,102.70081131825653
1998-3,103.16376705197679
1998-4,101.417580983195
1998-5,97.28022763857639
1998-6,93.5948738985936
1998-7,83.56477760504845
1998-8,88.72049631209971
1998-9,77.27942208893613
1998-10,86.4325585306738
1998-11,83.65740351307133
1998-12,82.36394289272685
1999-1,80.73200792882578
1999-2,76.82067938636533
1999-3,84.2639979121306
1999-4,81.08241740281836
1999-5,84.92044078614562
1999-6,77.47183247989548
1999-7,83.19361293456356
1999-8,82.40180879334375
1999-9,77.22544950061271
1999-10,73.83203963048088
1999-11,74.74006236348384
1999-12,72.8660878094318
2000-1,80.88593305560269
2000-2,78.28519647563397
2000-3,74.06409422548715
2000-4,74.9534394627532
2000-5,78.98205517988669
2000-6,71.01117424354385
2000-7,71.8872416482363
2000-8,69.90345103169261
2000-9,69.95189714177081
2000-10,72.20174010850535
2000-11,72.2071893382213
2000-12,69.93165529361583
2001-1,64.79347343484518
2001-2,64.33658069022876
2001-3,69.30047604860606
2001-4,67.83387638904452
2001-5,66.89178623104918
2001-6,67.28186055560982
2001-7,77.29014957723301
2001-8,64.92749876417602
2001-9,73.11001168932901
2001-10,61.4655372647406
2001-11,61.948632564971085
2001-12,59.836615402863124
2002-1,61.64422129736108
2002-2,64.50523269091086
2002-3,60.92296933387629
2002-4,63.8246896048404
2002-5,62.38096682172196
2002-6,65.3432820493386
2002-7,60.91921080935199
2002-8,61.0321491530775
2002-9,57.45684854568124
2002-10,58.6524497758286
2002-11,52.46261134593482
2002-12,56.13582840237328
2003-1,62.125655595961014
2003-2,53.015098869826694
2003-3,58.59560099703732
2003-4,52.61857264203669
2003-5,56.49460551405841
2003-6,48.998242860523035
2003-7,54.55328246801648
2003-8,49.745181194752924
2003-9,56.9413077320974
2003-10,57.519084666108725
2003-11,65.94779120481415
2003-12,62.27747135005423
2004-1,69.80240490557668
2004-2,73.1013342014231
2004-3,69.29939729404914
2004-4,66.96940558707028
2004-5,66.20864990094636
2004-6,70.01362055674937
2004-7,62.203989773201066
2004-8,69.77517954046624
2004-9,71.10659592264616
2004-10,73.54980118205636
2004-11,66.97266214919921
2004-12,67.71123543273299
2005-1,92.32164607739004
2005-2,87.63601234250241
2005-3,74.60625203408023
2005-4,71.62408897069102
2005-5,78.17882033118633
2005-6,70.3401523762835
2005-7,75.73593121984696
2005-8,72.9083502971863
2005-9,78.43812536412337
2005-10,78.83701742985863
2005-11,84.36591349992355
2005-12,79.21634681710698
2006-1,79.8957912333836
2006-2,77.70191361459513
2006-3,80.38623745120866
2006-4,84.82622985234345
2006-5,78.39156029662038
2006-6,77.34497056087555
2006-7,76.13449267300871
2006-8,80.8526907935387
2006-9,81.22791479572675
2006-10,83.31646812533702
2006-11,79.25654688437437
2006-12,81.83756519102357
2007-1,81.43069169320927
2007-2,82.641919191602
2007-3,80.35237912985018
2007-4,87.98300608084634
2007-5,90.62753781443624
2007-6,85.85942525266316
2007-7,91.40103730309839
2007-8,89.10725834828347
2007-9,90.04975861009581
2007-10,94.02846022775067
2007-11,101.04230659994838
2007-12,106.88848366206403
2008-1,111.51655868447543
2008-2,112.58322305968629
2008-3,112.86779446352713
2008-4,109.4258511266196
2008-5,110.07377441891258
2008-6,111.28543892756785
2008-7,108.8074284136681
2008-8,105.80466323984783
2008-9,110.3648355546526
2008-10,103.41329592533239
2008-11,96.46289550073296
2008-12,94.3173901948434
2009-1,97.2435262069904
2009-2,95.51646934627115
2009-3,94.99115936405722
2009-4,99.61958952540076
2009-5,103.82247206494995
2009-6,113.72908473916728
2009-7,108.03998006819553
2009-8,114.10061697524661
2009-9,117.71931840760566
2009-10,121.83330120572427
2009-11,117.44256387687567
2009-12,118.48776193656853
2010-1,120.91124812152232
2010-2,122.19497746843113
2010-3,129.50105120590732
2010-4,129.95304924164196
2010-5,133.86183574543836
2010-6,131.9413148108536
2010-7,132.95356922398915
2010-8,137.8456161586834
2010-9,139.88571058859074
2010-10,144.95867742125031
2010-11,145.41913749506878
2010-12,150.83693326876474
2011-1,150.53428778955592
2011-2,159.9344001927112
2011-3,163.52525336726188
2011-4,164.0356982595563
2011-5,171.82123953059033
2011-6,170.7833487635065
2011-7,167.87271260361476
2011-8,169.36512682991514
2011-9,163.52465555402927
2011-10,172.86151029060255
2011-11,164.1165191979903
2011-12,156.13752934740236
2012-1,159.27897625972147
2012-2,172.83789914148932
2012-3,176.63713066353074
2012-4,180.8734745256215
2012-5,179.40438425190527
2012-6,178.95729704255615
2012-7,201.6234285619053
2012-8,187.85156796175076
2012-9,187.65003347665626
2012-10,197.80910171598526
2012-11,210.28534761979122
2012-12,207.37858468601647
2013-1,217.3898780433125
2013-2,217.96482910795697
2013-3,226.17742849324912
2013-4,215.39480810192075
2013-5,222.2892611581669
2013-6,225.4151539656541
2013-7,219.35719361185414
2013-8,214.45915507332157
2013-9,218.7151250661173
2013-10,220.10771071673472
2013-11,227.7022474480528
2013-12,223.99459482227022
2014-1,210.32778783835857
2014-2,225.1143226009812
2014-3,225.54790727406927
2014-4,210.89631329745043
2014-5,217.29448425990375
2014-6,221.93920884666505
2014-7,219.29504837889405
2014-8,234.37899199139443
2014-9,239.09561794500377
2014-10,237.3679914957901
2014-11,248.79773006238472
