,final_address,floor,unit,instr_date,remark1,remark2,remark_all,bayWidow,has_BW,balcony,has_BAL,has_FR,roof,has_roof,has_UP:,acPlatform:,has_acPlatfrom,garden,has_GDN,plantRoom:,has_RM,yard,has_YD,has_CPS,is_duplex,below_market_trans,flatRoof,utilityPlatform,final_address_floor_unit
0,"PARK GARDEN,TAI HANG DR|柏園,大坑徑",14,B,1995-11-01,CPS 49 ON G/F ,blank,"CPS 49 ON G/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PARK GARDEN,TAI HANG DR|柏園,大坑徑_14_B"
1,"BELLEVUE HEIGHTS,TAI HANG DR|碧蘭閣,大坑徑",25,B,1995-11-01,CPS 12 ON G/F ,blank,"CPS 12 ON G/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"BELLEVUE HEIGHTS,TAI HANG DR|碧蘭閣,大坑徑_25_B"
2,"FLORA GARDEN(Block 3),CHUN FAI RD|慧景園3座,春暉道",2,B,1995-11-01,GFA INCL BW:18 SFCPS B97 ON 1ST LG/F ,blank,"GFA INCL BW:18 SFCPS B97 ON 1ST LG/F ,blank",18,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"FLORA GARDEN(Block 3),CHUN FAI RD|慧景園3座,春暉道_2_B"
3,"LINDEN HEIGHTS,BOYCE RD|年達園,布思道",14,A,1995-11-01,CPS 17 ON BASEMENT ,blank,"CPS 17 ON BASEMENT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"LINDEN HEIGHTS,BOYCE RD|年達園,布思道_14_A"
4,"BUTLER TOWER,BOYCE RD|柏麗園,布思道",18,A,1995-11-01,CPS L115 ,blank,"CPS L115 ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"BUTLER TOWER,BOYCE RD|柏麗園,布思道_18_A"
5,"PINEWOOD GARDEN,PERKINS RD|松峰園,白建時道",4,D,1995-11-01,CPS 14+RF ,blank,"CPS 14+RF ,blank",,False,,False,False,,True,False,,False,,False,,False,,False,True,False,False,,,"PINEWOOD GARDEN,PERKINS RD|松峰園,白建時道_4_D"
6,"CAVENDISH HEIGHTS(Block 8),PERKINS RD|嘉雲臺8座,白建時道",7,A,1995-11-01,CPS 12 ON LG/F ,blank,"CPS 12 ON LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 8),PERKINS RD|嘉雲臺8座,白建時道_7_A"
7,"CAVENDISH HEIGHTS(Block 7),PERKINS RD|嘉雲臺7座,白建時道",18,A,1995-11-01,CPS 326 & 327 ON1ST BASEMENT ,blank,"CPS 326 & 327 ON1ST BASEMENT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 7),PERKINS RD|嘉雲臺7座,白建時道_18_A"
8,"WING ON TOWERS(Block 2),BOYCE RD|永安閣2座,布思道",6,B,1995-11-01,CPS 4 ON LG/F ,blank,"CPS 4 ON LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"WING ON TOWERS(Block 2),BOYCE RD|永安閣2座,布思道_6_B"
9,"CAVENDISH HEIGHTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",31,B,1995-11-01,CPS 158 ON B/F ,blank,"CPS 158 ON B/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道_31_B"
10,"PARK GARDEN,TAI HANG DR|柏園,大坑徑",1,D,1995-11-01,CPS 85 ON LG/F ,blank,"CPS 85 ON LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PARK GARDEN,TAI HANG DR|柏園,大坑徑_1_D"
11,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",17,5,1995-11-01,blank,blank,"blank,blank",,False,,False,False,,False,False,,False,,False,,False,,False,False,False,False,,,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道_17_5"
12,"CAVENDISH HEIGHTS(Block 5),PERKINS RD|嘉雲臺5座,白建時道",17,B,1995-11-01,CPS 126 ON 2NDBASEMENT ,blank,"CPS 126 ON 2NDBASEMENT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 5),PERKINS RD|嘉雲臺5座,白建時道_17_B"
13,"CAVENDISH HEIGHTS(Block 5),PERKINS RD|嘉雲臺5座,白建時道",17,A,1995-11-01,CPS 135 ON2ND BASEMENT ,blank,"CPS 135 ON2ND BASEMENT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 5),PERKINS RD|嘉雲臺5座,白建時道_17_A"
14,"WING ON TOWERS(Block 2),BOYCE RD|永安閣2座,布思道",13,A,1995-12-01,CPS 47 & 48 ON LG/F ,blank,"CPS 47 & 48 ON LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"WING ON TOWERS(Block 2),BOYCE RD|永安閣2座,布思道_13_A"
15,"LINDEN HEIGHTS,BOYCE RD|年達園,布思道",18,A,1995-12-01,+OTHER PROPERTIES ,blank,"+OTHER PROPERTIES ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,False,False,False,,,"LINDEN HEIGHTS,BOYCE RD|年達園,布思道_18_A"
16,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",14,6,1995-12-01,CPS 3N8 ON CP3/F ,blank,"CPS 3N8 ON CP3/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道_14_6"
17,"CAVENDISH HEIGHTS(Block 6),PERKINS RD|嘉雲臺6座,白建時道",29,B,1995-12-01,CPS 63 & 321ON 1ST BASEMENT ,blank,"CPS 63 & 321ON 1ST BASEMENT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 6),PERKINS RD|嘉雲臺6座,白建時道_29_B"
18,"CAVENDISH HEIGHTS(Block 5),PERKINS RD|嘉雲臺5座,白建時道",14,B,1995-11-30,CPS 60 ON 1ST B/F ,blank,"CPS 60 ON 1ST B/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 5),PERKINS RD|嘉雲臺5座,白建時道_14_B"
19,"SWISS TOWERS(Block 4),TAI HANG RD|瑞士花園4座,大坑道",9,H,1995-12-08,CPS 103 ON UG/F ,blank,"CPS 103 ON UG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"SWISS TOWERS(Block 4),TAI HANG RD|瑞士花園4座,大坑道_9_H"
