interval,size_factor,size_p,adjR2,sample_size,low_bound,up_bound
"(0, 300]",-0.7010390258866452,0.0,0.08362271318478431,4145,0,300
"(300, 400]",-0.2536454234877214,0.0,0.02010546585293671,2700,300,400
"(400, 550]",-0.19885307138319708,0.0,0.018034845603673633,8334,400,550
"(550, 800]",0.015894198186740656,0.03618626849273232,-0.010622263476243843,8360,550,800
"(800, 100000]",0.1925759718113085,3.8724081119489995e-06,0.02298429749923192,1036,800,100000
"(0, 100000]",-0.12644050328171771,0.0,0.0041237985319591,24575,0,100000
