interval,size_factor,size_p,adjR2,sample_size,low_bound,up_bound
"(0, 300]",-0.2136189083916144,0.0,0.12713881096989677,23157,0,300
"(300, 400]",-0.1782448431158899,0.0,-0.034737650207692594,6152,300,400
"(400, 550]",-0.1960654150212423,0.0,-0.00973694636788136,15419,400,550
"(550, 800]",-0.24465316570305443,0.0,-0.05849447799891738,23421,550,800
"(800, 100000]",0.611994594633597,0.0,0.19497259589114735,18643,800,100000
"(0, 100000]",-0.1135165694652114,0.0,-0.03742652777752542,86792,0,100000
