interval,size_factor,size_p,adjR2,sample_size,low_bound,up_bound
"(0, 300]",-0.3765150016932365,0.0,-0.06597052529729397,6229,0,300
"(300, 400]",-0.2765902563041287,0.0,0.03190378222164636,12191,300,400
"(400, 550]",-0.22957733740759434,0.0,0.026406221518187833,25797,400,550
"(550, 800]",0.034326264275291944,0.0038063741385734318,0.0019498181793784486,3751,550,800
"(800, 5000]",0.08001529241208732,0.02997639954145659,0.0008282026033721301,653,800,5000
"(0, 5000]",-0.23714105886015133,0.0,0.023591998102488243,48621,800,5000
