,0
1997-1,100.0
1997-2,102.48716907750668
1997-3,112.02444403782599
1997-4,111.45936369228826
1997-5,116.84676841887203
1997-6,123.78361885864679
1997-7,117.84262902511551
1997-8,121.1577911427496
1997-9,119.7852588306314
1997-10,123.14460448287066
1997-11,115.36062649431369
1997-12,110.7630767887909
1998-1,100.70437621742303
1998-2,97.05998186843287
1998-3,96.06946268745618
1998-4,95.53992745195424
1998-5,89.29718979118934
1998-6,80.91308173085322
1998-7,75.92312987855311
1998-8,70.751898007505
1998-9,67.67378037659721
1998-10,66.99453351573071
1998-11,71.3535266588565
1998-12,73.48770527500051
1999-1,72.60457437500921
1999-2,73.64744914397652
1999-3,71.27881933705535
1999-4,73.99734638396642
1999-5,73.8848660492404
1999-6,74.84421896045758
1999-7,73.57779703719531
1999-8,73.72954291415543
1999-9,70.59399979705431
1999-10,70.31012651785623
1999-11,66.34898889875555
1999-12,70.51542595087085
2000-1,70.85158104315914
2000-2,78.96256653999782
2000-3,72.1302101355057
2000-4,68.61938551945954
2000-5,66.83112704643901
2000-6,64.30154152999717
2000-7,67.58173016040654
2000-8,65.82141156951951
2000-9,67.67666838515426
2000-10,66.23315220668667
2000-11,59.35746321827459
2000-12,61.49231981651027
2001-1,63.50073408244832
2001-2,63.74891335485437
2001-3,63.52642223936852
2001-4,63.227141865105
2001-5,61.89692295163252
2001-6,62.23917889915066
2001-7,62.40531682540674
2001-8,60.8241239351141
2001-9,61.45825275619894
2001-10,57.29077046007865
2001-11,57.00271387241385
2001-12,58.03551955887977
2002-1,58.14533190053649
2002-2,58.35146770522994
2002-3,56.86909178928147
2002-4,56.625894904809535
2002-5,56.250863583119546
2002-6,57.07827864185882
2002-7,55.50331607176881
2002-8,55.56267078269842
2002-9,53.858382503583314
2002-10,53.02846494523198
2002-11,50.814917682118285
2002-12,52.37991474885112
2003-1,50.78335610691612
2003-2,48.464718102079814
2003-3,49.8578308216228
2003-4,49.77327654841906
2003-5,49.023257392366794
2003-6,48.81488015877261
2003-7,48.56268569284514
2003-8,47.959493104760256
2003-9,51.15245637535152
2003-10,53.537942835576565
2003-11,54.667068480067435
2003-12,55.71191567473499
2004-1,60.87071339992629
2004-2,65.24162044324018
2004-3,64.95350491930755
2004-4,66.75505619334784
2004-5,70.13851170813143
2004-6,70.00895929593288
2004-7,62.98316173982749
2004-8,76.38618476993489
2004-9,68.85282725395388
2004-10,73.26362517605085
2004-11,71.59072391537109
2004-12,73.06457829893449
2005-1,75.84223631820149
2005-2,77.42827307721188
2005-3,74.26271126518381
2005-4,75.17451623010919
2005-5,76.26835400958653
2005-6,75.68999089659258
2005-7,73.50431847224567
2005-8,75.05260975719385
2005-9,78.78147973058753
2005-10,76.53133372647419
2005-11,74.18504467511067
2005-12,73.18489994053365
2006-1,73.73177495875453
2006-2,75.79536399092616
2006-3,75.03115173526085
2006-4,75.96295774959285
2006-5,76.17796564244055
2006-6,76.99259877987245
2006-7,77.42563329887473
2006-8,76.60856976429706
2006-9,76.49594869973086
2006-10,78.37312598290994
2006-11,75.87693230556793
2006-12,77.46497630973518
2007-1,80.02003124763698
2007-2,79.68795579231615
2007-3,79.42921248074988
2007-4,81.50706362715225
2007-5,84.00380666100327
2007-6,83.67566159482658
2007-7,84.5951983078462
2007-8,85.18000463206431
2007-9,86.70772397290871
2007-10,90.64404997936444
2007-11,95.12408995405708
2007-12,98.80921361688259
2008-1,103.64167180432202
2008-2,106.03927648939653
2008-3,106.1753803922586
2008-4,104.47433139407177
2008-5,104.28790437817779
2008-6,107.69584316967405
2008-7,107.66217564928193
2008-8,101.68714207893468
2008-9,102.36027429580012
2008-10,91.58168610504127
2008-11,83.87532108868756
2008-12,85.35156591442244
2009-1,87.05399650252475
2009-2,88.1113387823998
2009-3,88.90387806291253
2009-4,92.5992482160688
2009-5,96.72859055990087
2009-6,102.78215478888129
2009-7,104.39780635442595
2009-8,105.40959176292004
2009-9,108.87839762308107
2009-10,109.66484175179558
2009-11,111.38394928193136
2009-12,110.07188308064582
2010-1,112.17832252886662
2010-2,117.88993069849123
2010-3,122.07030207317717
2010-4,118.79576963559522
2010-5,119.99408440612567
2010-6,119.22134047309537
2010-7,125.30668283382049
2010-8,127.66646982579508
2010-9,127.87354108122997
2010-10,129.7834552783146
2010-11,131.5379351701723
2010-12,131.81198794920516
2011-1,135.86086334573565
2011-2,141.90402615815506
2011-3,146.1633471423138
2011-4,148.75826604817058
2011-5,152.10970733904458
2011-6,151.18053365601267
2011-7,150.94548280421978
2011-8,152.58968137102588
2011-9,147.02059730827258
2011-10,149.9925109201051
2011-11,149.32876799139393
2011-12,141.35528627871983
2012-1,143.92857478372025
2012-2,146.93704185460797
2012-3,152.82067431737784
2012-4,158.35032760438915
2012-5,159.60944197393707
2012-6,160.49632444126877
2012-7,162.7921975589615
2012-8,163.79045425581117
2012-9,168.82781733176125
2012-10,173.03778006228976
2012-11,175.88009534733146
2012-12,174.0305376840979
2013-1,178.33487234281165
2013-2,184.04052779405805
2013-3,187.7723926874407
2013-4,183.875726026278
2013-5,182.76737295782382
2013-6,183.0228409300157
2013-7,182.65552604699616
2013-8,182.3723612043971
2013-9,181.32641409653917
2013-10,185.07255138789964
2013-11,178.96163605575836
2013-12,187.94734382591008
2014-1,181.8357727703025
2014-2,180.00024445379654
2014-3,185.11500985178563
2014-4,178.81048408565766
2014-5,182.19326682677809
2014-6,184.3048308064226
2014-7,186.33255545745575
2014-8,191.33498126741844
2014-9,195.1856984076266
2014-10,196.60454179432526
2014-11,197.53545772413636
