interval,size_factor,size_p,adjR2,sample_size,low_bound,up_bound
"(0, 300]",-0.1677644477370888,0.0,-0.0018717902138132292,29143,0,300
"(300, 400]",-0.01235685262891777,0.04299919069277558,-0.020509318974146984,31264,300,400
"(400, 550]",0.07809804192485582,5.360156762890256e-13,-0.0639689914532311,13364,400,550
"(550, 800]",0.13683767341945657,2.083424346377427e-07,-0.060882533973551034,1459,550,800
"(800, 100000]",0.10857051759362632,0.0,0.013737150711859214,6865,800,100000
"(0, 100000]",-0.03969630356745509,0.0,-0.026587161217112243,82095,0,100000
