interval,size_factor,size_p,adjR2,sample_size,low_bound,up_bound
"(300, 400]",-0.08691582792906145,0.714741582550324,-0.00988549425963936,172,300,400
"(400, 550]",-0.08656565355776455,0.0003311003296888604,0.0009503300711033447,1835,400,550
"(550, 800]",0.17308678756732795,7.380762667708041e-13,0.013219066670247637,3253,550,800
"(800, 100000]",0.3388677374403738,0.0,0.0722612754761035,8530,800,100000
"(0, 100000]",0.19064049866613852,0.0,0.01945555491791484,13790,0,100000
