,final_address_floor_unit,final_address,floor,unit,instr_date,remark1,remark2,remark_all,bayWidow,has_BW,balcony,has_BAL,F/R:,FR:,has_FR,roof,has_roof,UTILITY_PLATFORM:,UP:,has_UP:,acPlatform:,has_acPlatfrom,garden,has_GDN,plantRoom:,has_RM,yard,has_YD,has_CPS,is_duplex,below_market_trans,flatRoof,utilityPlatform
0,"1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道_10_B","1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道",10,B,2014-08-27,+BW:21 SFAREA INCL BAL:73 SFUTILITY PLATFORM16SFCPS 25 ON B2/F ,blank,"+BW:21 SFAREA INCL BAL:73 SFUTILITY PLATFORM16SFCPS 25 ON B2/F ,blank",21,False,73,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
1,"1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道_11_A","1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道",11,A,2015-05-27,+BW:42 SFAREA INCL BAL:79 SFUTILITY PLATFORM16SFCPS 28 ON B2/F ,blank,"+BW:42 SFAREA INCL BAL:79 SFUTILITY PLATFORM16SFCPS 28 ON B2/F ,blank",42,False,79,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
2,"1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道_11_B","1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道",11,B,2015-04-10,+BW:21 SFAREA INCL BAL:73 SFUTILITY PLATFORM16SFCPS 27 ON B2/F ,blank,"+BW:21 SFAREA INCL BAL:73 SFUTILITY PLATFORM16SFCPS 27 ON B2/F ,blank",21,False,73,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
3,"1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道_12_A","1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道",12,A,2014-08-28,+BW:42 SFAREA INCL BAL:79 SFUTILITY PLATFORM16SFCPS 26 ON B1/F ,blank,"+BW:42 SFAREA INCL BAL:79 SFUTILITY PLATFORM16SFCPS 26 ON B1/F ,blank",42,False,79,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
4,"1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道_12_B","1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道",12,B,2014-08-28,+BW:21 SFAREA INCL BAL:73 SFUTILITY PLATFORM16SFCPS 22 ON B1/F ,blank,"+BW:21 SFAREA INCL BAL:73 SFUTILITY PLATFORM16SFCPS 22 ON B1/F ,blank",21,False,73,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
5,"1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道_15_whole floor","1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道",15,whole floor,2016-09-06,AREA INCL BAL:54 SFUTILITY PLATFORM16SF+F/R:163 SF+RF:1691 SF+TERR:599 SFCPS 2325 ON B1/F ,blank,"AREA INCL BAL:54 SFUTILITY PLATFORM16SF+F/R:163 SF+RF:1691 SF+TERR:599 SFCPS 2325 ON B1/F ,blank",,False,54,False,163,,False,1691,False,,,False,,False,,False,,False,,False,True,False,False,163,
6,"1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道_5_A","1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道",5,A,2015-04-29,+BW:42 SFAREA INCL BAL:79 SFUTILITY PLATFORM16SFCPS 30 ON B2/F ,blank,"+BW:42 SFAREA INCL BAL:79 SFUTILITY PLATFORM16SFCPS 30 ON B2/F ,blank",42,False,79,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
7,"1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道_5_B","1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道",5,B,2016-09-30,+BW:21 SFAREA INCL BAL:73 SFUTILITY PLATFORM16SFCPS 35 ON B2/F ,blank,"+BW:21 SFAREA INCL BAL:73 SFUTILITY PLATFORM16SFCPS 35 ON B2/F ,blank",21,False,73,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
8,"1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道_6_A","1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道",6,A,2015-04-17,+BW:42 SFAREA INCL BAL:79 SFUTILITY PLATFORM16SFCPS 37 ON B2/F ,blank,"+BW:42 SFAREA INCL BAL:79 SFUTILITY PLATFORM16SFCPS 37 ON B2/F ,blank",42,False,79,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
9,"1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道_6_B","1 & 3 EDE RD(Block 2),EDE RD|1 & 3 EDE RD2座,義德道",6,B,2019-02-19,blank,BW:21 SF (NE) / BAL:73 SF (NI) / UP:16 SF (NI) / ,"blank,BW:21 SF (NE) / BAL:73 SF (NI) / UP:16 SF (NI) / ",21,False,73,False,,,False,,False,,16,False,,False,,False,,False,,False,False,False,False,,16
