,0
1997-1,100.0
1997-2,94.99556294598601
1997-3,104.59698449628377
1997-4,115.41246082906082
1997-5,102.25887573864306
1997-6,115.617103517799
1997-7,107.78484654598199
1997-8,129.52423825710792
1997-9,112.90306482936263
1997-10,122.45325402059022
1997-11,119.00839711855224
1997-12,117.1713451976674
1998-1,89.47608485080481
1998-2,91.23116136551414
1998-3,90.2726318728203
1998-4,88.78683753184565
1998-5,85.84737116704838
1998-6,87.88174337990526
1998-7,62.90863137917954
1998-8,65.96704041599473
1998-9,67.98872567906545
1998-10,0.0
1998-11,69.70296480170067
1998-12,71.79969956156775
1999-1,inf
1999-2,63.68563057163444
1999-3,73.91856269470176
1999-4,74.70016404946219
1999-5,70.67920823839447
1999-6,75.34030420645985
1999-7,77.86735726465423
1999-8,75.76073913893957
1999-9,80.39106461884428
1999-10,75.84208790088954
1999-11,72.94537033806748
1999-12,73.39867291793337
2000-1,74.98503717111412
2000-2,78.39312514279348
2000-3,73.68704598990014
2000-4,72.00909261045364
2000-5,74.95144552470788
2000-6,68.66723817472537
2000-7,68.54854190128596
2000-8,67.20441982466473
2000-9,69.88118887729365
2000-10,69.78041330692679
2000-11,69.6480231627379
2000-12,67.49153779879926
2001-1,65.05355994842773
2001-2,64.62454663469083
2001-3,64.8299155486019
2001-4,67.22765005246153
2001-5,62.874973647479734
2001-6,63.79909058375279
2001-7,66.53334372181764
2001-8,63.45516536384142
2001-9,65.90798616581654
2001-10,65.20823133374614
2001-11,65.75850918895704
2001-12,62.91201060840851
2002-1,61.320557047898774
2002-2,59.92932943809931
2002-3,60.76583745198697
2002-4,62.87393311560082
2002-5,62.03619252858513
2002-6,56.61493608456964
2002-7,64.05518660024771
2002-8,55.25115657979912
2002-9,53.59712844994272
2002-10,50.117352171709804
2002-11,51.38856438288949
2002-12,51.150848176776165
2003-1,50.14041857042761
2003-2,53.08142572947783
2003-3,0.0
2003-4,54.69181084471767
2003-5,51.448650142483935
2003-6,45.818028340343794
2003-7,49.80147029080971
2003-8,50.87999530665386
2003-9,46.01859075624404
2003-10,50.05858258273146
2003-11,52.84496529613358
2003-12,53.912440164595864
2004-1,53.93913039388233
2004-2,56.88830790026033
2004-3,59.91386449318807
2004-4,60.53679165977095
2004-5,61.46916634847032
2004-6,71.4428387405525
2004-7,66.07949801850872
2004-8,67.75953988603648
2004-9,68.13902400753322
2004-10,69.38928557877114
2004-11,66.9349413776852
2004-12,67.41488110681405
2005-1,76.20933191324481
2005-2,72.52931591226755
2005-3,71.83947059049059
2005-4,76.56200240193989
2005-5,80.08959477481544
2005-6,77.95153889434816
2005-7,74.55447173165508
2005-8,74.28053140226066
2005-9,75.16588266503987
2005-10,80.7718791843569
2005-11,73.83118998760804
2005-12,70.71580533625172
2006-1,67.79502389382796
2006-2,66.71346420160424
2006-3,71.03009331136604
2006-4,73.80584465486555
2006-5,71.10334525065106
2006-6,62.04743231409145
2006-7,64.40624636734819
2006-8,71.32213632704449
2006-9,69.87262702673218
2006-10,65.74177434911773
2006-11,64.24286905617778
2006-12,64.17012965587217
2007-1,63.94571287697157
2007-2,63.32143289540142
2007-3,63.6808128600681
2007-4,64.4576237693122
2007-5,64.66306503914977
2007-6,65.126900385733
2007-7,65.24158742452232
2007-8,65.55085063924611
2007-9,64.92993395476927
2007-10,68.5663895988253
2007-11,70.72941045297172
2007-12,73.78060678951192
2008-1,74.10961244020558
2008-2,78.19305899510091
2008-3,75.96294077406198
2008-4,77.6425304222022
2008-5,76.48164424833365
2008-6,79.08211137587946
2008-7,77.44427474001245
2008-8,80.0713681186784
2008-9,79.8586430785491
2008-10,72.28011738981114
2008-11,66.20137804971459
2008-12,65.40359402875066
2009-1,66.5965196058147
2009-2,65.86770416283402
2009-3,67.17523330675952
2009-4,68.46963098151907
2009-5,72.32412571619305
2009-6,74.59477425605458
2009-7,76.79725142158462
2009-8,78.07452434582149
2009-9,78.64440644297058
2009-10,79.36150724954632
2009-11,79.69210278824083
2009-12,80.2424513067235
2010-1,81.79121085724452
2010-2,82.58903187361693
2010-3,83.38929530560193
2010-4,85.56217724845715
2010-5,88.4661683998432
2010-6,87.00756110910302
2010-7,89.09922117080032
2010-8,91.51553192400726
2010-9,92.29428690393202
2010-10,95.09845036551621
2010-11,98.22438749796741
2010-12,96.99235100756515
2011-1,99.96347690812458
2011-2,105.35452397023406
2011-3,106.98350327773353
2011-4,110.13169783701558
2011-5,111.87484102071639
2011-6,114.27079862865234
2011-7,113.72218609620602
2011-8,112.63011290210025
2011-9,116.13142974184952
2011-10,114.83266933122724
2011-11,111.75201886360678
2011-12,114.20036320265648
2012-1,110.1359155850603
2012-2,114.33355833594297
2012-3,116.09014145010757
2012-4,116.92512498485834
2012-5,119.21454083337608
2012-6,121.1605810616436
2012-7,121.81624736040722
2012-8,125.06675828124469
2012-9,128.81868041742672
2012-10,136.48366638350447
2012-11,139.19680631238984
2012-12,132.96422107570913
2013-1,140.64151208234702
2013-2,144.50105336288567
2013-3,140.36006327552386
2013-4,137.57395404364047
2013-5,137.86852944045816
2013-6,138.54645119481518
2013-7,139.5236246241845
2013-8,144.92520429693243
2013-9,140.5695416010143
2013-10,143.30493752728194
2013-11,137.05843185672057
2013-12,129.38150446998668
2014-1,137.46592025869785
2014-2,135.9179077646868
2014-3,135.98099344733868
2014-4,136.3721225274859
2014-5,140.95665632416492
2014-6,137.767278429326
2014-7,141.8393570908545
2014-8,143.36751521954167
2014-9,147.69923018593968
2014-10,148.68140060199224
2014-11,149.30107338680085
2014-12,154.17679070025054
