interval,size_factor,size_p,adjR2,sample_size,low_bound,up_bound
"(0, 300]",-0.35675108077358697,0.0,0.08459492729413076,2097,0,300
"(300, 400]",-0.2656277046153042,0.0,0.05455785640287869,2026,300,400
"(400, 550]",0.20772815430244204,0.0,0.024317808069012625,7457,400,550
"(550, 800]",0.1956565376735289,0.0,0.06778342085764599,1127,550,800
"(800, 5000]",0.028301193099217768,0.7072144210082123,-0.05340917047880889,479,800,5000
"(0, 5000]",0.011391154467036634,0.2713950772483642,-0.00038614257761770965,13187,0,5000
