,lumpSum_avg,npsf_avg,final_address,lumpSum_F,npsf_F,nfa_F,lumpSum_F8,npsf_F8,nfa_F8,nfa_avg,lumpSum_change,npsf_change
2020-12-15,34888800.73586519,6853.0,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",34467766.66422636,6831.0,3133.0,35309834.80750401,6875.0,3189.0,,0.011491935470945291,0.7687443541102077
2020-11-15,34492416.11562741,3874.5,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",34075615.4935577,3862.0,3133.0,34909216.737697124,3887.0,3189.0,,,
2020-10-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2020-9-15,102561937.690485,5213.0,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",101319021.94121225,5196.0,3133.0,103804853.43975773,5230.0,3189.0,,1.9399396131740656,0.15549152166685132
2020-8-15,34885729.363589,4511.5,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",34464602.049452595,4497.0,3133.0,35306856.67772541,4526.0,3189.0,,0.7966904034419731,-0.18959942518412076
2020-7-15,19416661.48867795,5567.0,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",19181895.617689256,5549.0,3133.0,19651427.359666638,5585.0,3189.0,,-0.4434103407039286,-0.1300882881475115
2020-6-15,34885056.09902012,6399.5,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",34464307.80817772,6379.0,3133.0,35305804.38986254,6420.0,3189.0,,-0.553601394620961,2.3832936822627544
2020-5-15,78147771.24896947,1891.5,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",77187021.90578999,1885.0,3133.0,79108520.59214894,1898.0,3189.0,,1.240021924717543,-0.7801731652042536
2020-4-15,34887056.41076417,8604.5,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",34466541.18768,8577.0,3133.0,35307571.63384834,8632.0,3189.0,,1.2801551131147448e-05,0.9562350801409571
2020-3-15,34886609.808044925,4398.5,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",34462591.679533936,4384.0,3133.0,35310627.93655591,4413.0,3189.0,,,
2020-2-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
