,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_change,npsf_change
2019-12-15,5028628.25,16598.375,8,40229026.0,132787.0,2462,"EMERALD BAY(Block 1),KWUN CHUI RD|恆大•珺瓏灣1座,管翠路",7027988.0,16654.0,422.0,6428707.0,14711.0,437.0,5332062.0,16306.0,327.0,5753538.0,15221.0,378.0,3822238.9999999995,16691.0,229.0,4116134.0,18458.0,223.0,3854332.0,17284.0,223.0,3894026.0000000005,17462.0,223.0,-0.030490218233669486,-0.03023508876992853
2019-11-15,5186774.125,17115.875,8,41494193.0,136927.0,2462,"EMERALD BAY(Block 1),KWUN CHUI RD|恆大•珺瓏灣1座,管翠路",7251226.000000001,17183.0,422.0,6632786.0,15178.0,437.0,5502102.0,16826.0,327.0,5936490.0,15705.0,378.0,4113756.0,17964.0,229.0,4061275.9999999995,18212.0,223.0,3977650.9999999995,17837.0,223.0,4018906.0,18022.0,223.0,-0.01133697717365112,-0.011335985617016986
2019-10-15,5246250.75,17312.125,8,41970006.0,138497.0,2462,"EMERALD BAY(Block 1),KWUN CHUI RD|恆大•珺瓏灣1座,管翠路",7334782.0,17381.0,422.0,6708824.0,15352.0,437.0,5565213.0,17019.0,327.0,6004152.0,15884.0,378.0,4161387.9999999995,18172.0,229.0,4108106.0,18422.0,223.0,4022920.0,18040.0,223.0,4064620.9999999995,18227.0,223.0,-0.0017871503695777724,-0.0017730624247709326
2019-9-15,5255643.375,17342.875,8,42045147.0,138743.0,2462,"EMERALD BAY(Block 1),KWUN CHUI RD|恆大•珺瓏灣1座,管翠路",7348286.0,17413.0,422.0,6721497.0,15381.0,437.0,5574696.0,17048.0,327.0,6015114.0,15913.0,378.0,4168945.0,18205.0,229.0,4116134.0,18458.0,223.0,4029387.0,18069.0,223.0,4071088.0,18256.0,223.0,-0.04897653087213372,-0.04896288883100508
2019-8-15,5526302.5,18235.75,8,44210420.0,145886.0,2462,"EMERALD BAY(Block 1),KWUN CHUI RD|恆大•珺瓏灣1座,管翠路",7727664.000000001,18312.0,422.0,7068038.0,16174.0,437.0,5861475.0,17925.0,327.0,6324696.0,16732.0,378.0,4383747.0,19143.0,229.0,4328876.0,19412.0,223.0,4236331.0,18997.0,223.0,4279593.0,19191.0,223.0,0.0248736155760394,0.024890581201745032
2019-7-15,5392179.5,17792.875,8,43137436.0,142343.0,2462,"EMERALD BAY(Block 1),KWUN CHUI RD|恆大•珺瓏灣1座,管翠路",7540718.0,17869.0,422.0,6897171.0,15783.0,437.0,5718903.0,17489.0,327.0,6171228.0,16326.0,378.0,4277262.0,18678.0,229.0,4224512.0,18944.0,223.0,4132859.0000000005,18533.0,223.0,4174783.0,18721.0,223.0,0.00224985241260911,0.0022672703332606847
2019-6-15,5380075.125,17752.625,8,43040601.0,142021.0,2462,"EMERALD BAY(Block 1),KWUN CHUI RD|恆大•珺瓏灣1座,管翠路",7524260.0,17830.0,422.0,6882313.0,15749.0,437.0,5705823.0,17449.0,327.0,6157620.0,16290.0,378.0,4267644.0,18636.0,229.0,4215815.0,18905.0,223.0,4122824.0,18488.0,223.0,4164302.0,18674.0,223.0,-0.009049389334062186,-0.00903597644366294
2019-5-15,5429206.125,17914.5,8,43433649.0,143316.0,2462,"EMERALD BAY(Block 1),KWUN CHUI RD|恆大•珺瓏灣1座,管翠路",7593890.0,17995.0,422.0,6945678.0,15894.0,437.0,5757489.0,17607.0,327.0,6213564.0,16438.0,378.0,4306803.0,18807.0,229.0,4255063.0,19081.0,223.0,4159842.0,18654.0,223.0,4201320.0,18840.0,223.0,0.04165012969169335,0.041669392294106045
2019-4-15,5212120.625,17197.875,8,41696965.0,137583.0,2462,"EMERALD BAY(Block 1),KWUN CHUI RD|恆大•珺瓏灣1座,管翠路",7290894.0,17277.0,422.0,6668620.0,15260.0,437.0,5526954.0,16902.0,327.0,5965218.0,15781.0,378.0,4134595.0,18055.0,229.0,4085582.9999999995,18321.0,223.0,3992815.0000000005,17905.0,223.0,4032286.0000000005,18082.0,223.0,0.008713036201451141,0.00873218370578921
2019-3-15,5167099.5,17049.0,8,41336796.0,136392.0,2462,"EMERALD BAY(Block 1),KWUN CHUI RD|恆大•珺瓏灣1座,管翠路",7228438.0,17129.0,422.0,6611810.0,15130.0,437.0,5478885.0,16755.0,327.0,5913810.0,15645.0,378.0,4098871.0000000005,17899.0,229.0,4051018.0,18166.0,223.0,3957581.0000000005,17747.0,223.0,3996383.0000000005,17921.0,223.0,0.04027814170481725,0.03951770865883675
2019-2-15,4967036.5,16400.875,8,39736292.0,131207.0,2462,"EMERALD BAY(Block 1),KWUN CHUI RD|恆大•珺瓏灣1座,管翠路",6934726.0,16433.0,422.0,6343055.0,14515.0,437.0,5255544.0,16072.0,327.0,5673024.0,15008.0,378.0,3932159.0,17171.0,229.0,3968954.0,17798.0,223.0,3795906.0000000005,17022.0,223.0,3832924.0,17188.0,223.0,-0.002472186924333042,-0.002448129309886027
