,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_R,npsf_R,nfa_R,nfa_avg,lumpSum_change,npsf_change
2020-12-15,5181938.5625,16837.0625,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5392075.0,16591.0,325.0,5392608.0,17284.0,312.0,5398288.0,17584.0,307.0,5117690.0,16670.0,307.0,5062430.0,16490.0,307.0,5137115.0,16843.0,305.0,7375078.0,15998.0,461.0,5046800.0,16280.0,310.0,4956515.0,16145.0,307.0,5382230.0,16715.0,322.0,5471124.0,17044.0,321.0,4015784.0,18008.0,223.0,4046335.0000000005,18145.0,223.0,4207840.0,17680.0,238.0,5112229.0,16333.0,313.0,5796876.0,15583.0,372.0,,0.010176154113926916,0.010180817315264212
2020-11-15,5129737.5625,16667.375,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5337800.0,16424.0,325.0,5338008.0,17109.0,312.0,5344870.0,17410.0,307.0,5066114.0,16502.0,307.0,5011161.0,16323.0,307.0,5085875.0,16675.0,305.0,7301318.0,15838.0,461.0,4995650.0,16115.0,310.0,4907395.0,15985.0,307.0,5327812.0,16546.0,322.0,5415912.0,16872.0,321.0,3974975.0,17825.0,223.0,4005079.9999999995,17960.0,223.0,4165714.0000000005,17503.0,238.0,5059645.0,16165.0,313.0,5738472.0,15426.0,372.0,,-0.025174354906591367,-0.025178567512044614
2020-10-15,5262210.3125,17097.875,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5476250.0,16850.0,325.0,5474664.0,17547.0,312.0,5483941.0,17863.0,307.0,5195975.0,16925.0,307.0,5141022.0,16746.0,307.0,5217940.0,17108.0,305.0,7488484.000000001,16244.0,461.0,5125230.0,16533.0,310.0,5035107.0,16401.0,307.0,5465306.0,16973.0,322.0,5556189.0,17309.0,321.0,4077332.0,18284.0,223.0,4108329.0000000005,18423.0,223.0,4273528.0,17956.0,238.0,5189540.0,16580.0,313.0,5886528.0,15824.0,372.0,,-0.01359911653917123,-0.013059822646165342
2020-9-15,5334758.3125,17324.125,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5553275.0,17087.0,325.0,5477472.0,17556.0,312.0,5561305.0,18115.0,307.0,5268427.0,17161.0,307.0,5255840.0,17120.0,307.0,5292055.0,17351.0,305.0,7591748.0,16468.0,461.0,5199320.0,16772.0,310.0,5106638.0,16634.0,307.0,5543230.0,17215.0,322.0,5634513.0,17553.0,321.0,4134420.0,18540.0,223.0,4165863.0,18681.0,223.0,4178565.9999999995,17557.0,238.0,5423977.0,17329.0,313.0,5969484.0,16047.0,372.0,,0.03937811735473451,0.03945009862524662
2020-8-15,5132644.4375,16666.625,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5352100.0,16468.0,325.0,5279352.0,16921.0,312.0,5210711.0,16973.0,307.0,4993048.0,16264.0,307.0,5065500.0,16500.0,307.0,5100820.0,16724.0,305.0,7316531.0,15871.0,461.0,5012390.0,16169.0,310.0,4922131.0,16033.0,307.0,5436326.0,16883.0,322.0,5430357.0,16917.0,321.0,3983895.0000000005,17865.0,223.0,4014223.0000000005,18001.0,223.0,4025531.9999999995,16914.0,238.0,5226787.0,16699.0,313.0,5752608.0,15464.0,372.0,,-0.053852482263718415,-0.05373833433873887
2020-7-15,5424782.4375,17613.125,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5712850.0,17578.0,325.0,5419752.0,17371.0,312.0,5499905.0,17915.0,307.0,5284084.0,17212.0,307.0,5402893.0,17599.0,307.0,5362815.0,17583.0,305.0,7745721.999999999,16802.0,461.0,5426860.0,17506.0,310.0,5195668.0,16924.0,307.0,5737718.0,17819.0,322.0,5731455.0,17855.0,321.0,4204442.0,18854.0,223.0,4236331.0,18997.0,223.0,4248300.0,17850.0,238.0,5516312.0,17624.0,313.0,6071412.0,16321.0,372.0,,0.0361520301795919,0.036142363409074285
2020-6-15,5235508.1875,16998.75,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5518500.0,16980.0,325.0,5238792.0,16791.0,312.0,5317240.0,17320.0,307.0,5109094.0,16642.0,307.0,5154837.0,16791.0,307.0,5184695.0,16999.0,305.0,7486640.0,16240.0,461.0,5179790.0,16709.0,310.0,5023441.0,16363.0,307.0,5546772.0,17226.0,322.0,5540460.0,17260.0,321.0,4063952.0,18224.0,223.0,4094725.9999999995,18362.0,223.0,4107880.0,17260.0,238.0,5332268.0,17036.0,313.0,5869044.0,15777.0,372.0,,0.003373672202593214,0.0023143370972020794
2020-5-15,5217904.6875,16959.5,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5499325.0,16921.0,325.0,5219760.0,16730.0,312.0,5298820.0,17260.0,307.0,5163433.0,16819.0,307.0,5136724.0,16732.0,307.0,5167005.0,16941.0,305.0,7291176.000000001,15816.0,461.0,5161500.0,16650.0,310.0,5006556.0,16308.0,307.0,5527452.0,17166.0,322.0,5521521.0,17201.0,321.0,4049457.0,18159.0,223.0,4080231.0,18297.0,223.0,4202128.0,17656.0,238.0,5313175.0,16975.0,313.0,5848212.0,15721.0,372.0,,0.009924667737206905,0.010072735123545451
2020-4-15,5166627.625,16790.375,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5442775.0,16747.0,325.0,5167032.0,16561.0,312.0,5243867.0,17081.0,307.0,5110936.0,16648.0,307.0,5084534.0,16562.0,307.0,5113630.0,16766.0,305.0,7251991.0,15731.0,461.0,5108490.0,16479.0,310.0,4955901.0,16143.0,307.0,5470780.0,16990.0,322.0,5464704.0,17024.0,321.0,4007533.0,17971.0,223.0,4037861.0,18107.0,223.0,4159288.0,17476.0,238.0,5258400.0,16800.0,313.0,5788320.0,15560.0,372.0,,0.008845768921959651,0.008714915986107297
2020-3-15,5121325.5625,16645.3125,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5402475.0,16623.0,325.0,5129592.0,16441.0,312.0,5204878.0,16954.0,307.0,5072868.0,16524.0,307.0,5047387.0,16441.0,307.0,5075810.0,16642.0,305.0,7198515.0,15615.0,461.0,5070360.0,16356.0,310.0,4919982.0,16026.0,307.0,5430530.0,16865.0,322.0,5291364.0,16484.0,321.0,3978097.0,17839.0,223.0,4007532.9999999995,17971.0,223.0,4146436.0000000005,17422.0,238.0,5220214.0,16678.0,313.0,5745168.0,15444.0,372.0,,-0.03150659702820402,-0.03151023673588127
2020-2-15,5287930.25,17186.875,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5577650.0,17162.0,325.0,5297448.0,16979.0,312.0,5373728.0,17504.0,307.0,5238034.0,17062.0,307.0,5211632.0,16976.0,307.0,5240510.0,17182.0,305.0,7432703.0,16123.0,461.0,5235590.0,16889.0,310.0,5079622.0,16546.0,307.0,5606986.0,17413.0,322.0,5463420.0,17020.0,321.0,4107882.9999999995,18421.0,223.0,4138211.0,18557.0,223.0,4281382.0,17989.0,238.0,5390173.0,17221.0,313.0,5931912.0,15946.0,372.0,,0.006858900218488451,0.006854180244436403
