,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_21,npsf_21,nfa_21,lumpSum_22,npsf_22,nfa_22,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2020-12-15,5115434.277777778,15598.166666666666,"STARFRONT ROYALE(Block 2,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,2座(帝御•星濤),8 青山公路青山灣段",7215320.0,14120.0,511.0,4580840.0,15796.0,290.0,4482564.0,15404.0,291.0,3731616.0000000005,17276.0,216.0,7086852.0,14582.0,486.0,4307400.0,14358.0,300.0,4813668.0,14857.0,324.0,5296704.0,15764.0,336.0,5450192.0,15224.0,358.0,4772917.0,15347.0,311.0,4707845.0,15335.0,307.0,5026512.0,16008.0,314.0,4727807.0,15707.0,301.0,4092880.0,18604.0,220.0,6157422.0,14873.0,414.0,6103968.0,14673.0,416.0,4822700.0,16630.0,290.0,4700610.0,16209.0,290.0,,0.01018331268376671,0.010185798169362714
2020-11-15,5063867.333333333,15440.888888888889,"STARFRONT ROYALE(Block 2,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,2座(帝御•星濤),8 青山公路青山灣段",7143269.0,13979.0,511.0,4535020.0,15638.0,290.0,4437459.0,15249.0,291.0,3694247.9999999995,17103.0,216.0,7015896.0,14436.0,486.0,4264500.0,14215.0,300.0,4765392.0,14708.0,324.0,5243616.0,15606.0,336.0,5393986.0,15067.0,358.0,4725334.0,15194.0,311.0,4659953.0,15179.0,307.0,4973760.0,15840.0,314.0,4680851.0,15551.0,301.0,4051740.0,18417.0,220.0,6095322.0,14723.0,414.0,6042816.0,14526.0,416.0,4773980.0,16462.0,290.0,4652470.0,16043.0,290.0,,-0.0252495240839411,-0.025254526771341546
2020-10-15,5195039.611111111,15840.944444444445,"STARFRONT ROYALE(Block 2,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,2座(帝御•星濤),8 青山公路青山灣段",7327740.0,14340.0,511.0,4652470.0,16043.0,290.0,4552404.0,15644.0,291.0,3789935.9999999995,17546.0,216.0,7197173.999999999,14809.0,486.0,4375500.0,14585.0,300.0,4888836.0,15089.0,324.0,5379360.0,16010.0,336.0,5533606.0,15457.0,358.0,4847557.0,15587.0,311.0,4781525.0,15575.0,307.0,5101558.0,16247.0,314.0,4802455.0,15955.0,301.0,4156680.0,18894.0,220.0,6253470.0,15105.0,414.0,6199232.0,14902.0,416.0,4897810.0,16889.0,290.0,4773400.0,16460.0,290.0,,-0.01393586612272113,-0.013936583358405308
2020-9-15,5268460.166666667,16064.833333333334,"STARFRONT ROYALE(Block 2,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,2座(帝御•星濤),8 青山公路青山灣段",7431473.0,14543.0,511.0,4718010.0,16269.0,290.0,4616715.0,15865.0,291.0,3843287.9999999995,17793.0,216.0,7298748.0,15018.0,486.0,4437900.0,14793.0,300.0,4958172.0,15303.0,324.0,5454960.0,16235.0,336.0,5611650.0,15675.0,358.0,4915666.0,15806.0,311.0,4849679.0,15797.0,307.0,5172836.0,16474.0,314.0,4870782.0,16182.0,301.0,4215200.0,19160.0,220.0,6341652.0,15318.0,414.0,6286592.0,15112.0,416.0,4967410.0,17129.0,290.0,4841550.0,16695.0,290.0,,0.0375959571254183,0.037590019053360235
2020-8-15,5077564.277777778,15482.833333333334,"STARFRONT ROYALE(Block 2,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,2座(帝御•星濤),8 青山公路青山灣段",7161665.0,14015.0,511.0,4546620.0,15678.0,290.0,4449390.0,15290.0,291.0,3703967.9999999995,17148.0,216.0,7033878.0,14473.0,486.0,4277700.0,14259.0,300.0,4778352.0,14748.0,324.0,5257392.0,15647.0,336.0,5408306.0,15107.0,358.0,4736841.0,15231.0,311.0,4674689.0,15227.0,307.0,4984750.0,15875.0,314.0,4694998.0,15598.0,301.0,4062520.0,18466.0,220.0,6111468.0,14762.0,414.0,6059040.0,14565.0,416.0,4787610.0,16509.0,290.0,4666970.0,16093.0,290.0,,-0.05256441272767576,-0.05256770263195465
2020-7-15,5359271.222222222,16341.888888888889,"STARFRONT ROYALE(Block 2,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,2座(帝御•星濤),8 青山公路青山灣段",7558711.999999999,14792.0,511.0,4798630.0,16547.0,290.0,4696158.0,16138.0,291.0,3909384.0,18099.0,216.0,7423650.000000001,15275.0,486.0,4515300.0,15051.0,300.0,5043708.0,15567.0,324.0,5548704.0,16514.0,336.0,5708310.0,15945.0,358.0,4999325.0,16075.0,311.0,4934718.0,16074.0,307.0,5260756.0,16754.0,314.0,4955965.0,16465.0,301.0,4287800.0,19490.0,220.0,6450534.0,15581.0,414.0,6395168.0,15373.0,416.0,5053540.0,17426.0,290.0,4926520.0,16988.0,290.0,,0.03441368701681258,0.03440951721179175
2020-6-15,5180974.777777778,15798.277777777777,"STARFRONT ROYALE(Block 2,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,2座(帝御•星濤),8 青山公路青山灣段",7307300.0,14300.0,511.0,4638550.0,15995.0,290.0,4539891.0,15601.0,291.0,3779352.0,17497.0,216.0,7176276.0,14766.0,486.0,4365900.0,14553.0,300.0,4875876.0,15049.0,324.0,5363904.0,15964.0,336.0,5518212.0,15414.0,358.0,4832629.0,15539.0,311.0,4771087.0,15541.0,307.0,5084916.0,16194.0,314.0,4791619.0,15919.0,301.0,4145020.0000000005,18841.0,220.0,6235668.0,15062.0,414.0,6182176.0,14861.0,416.0,4885630.0,16847.0,290.0,4763540.0,16426.0,290.0,,0.003453008600967866,0.0034475214543812083
2020-5-15,5163146.388888889,15744.0,"STARFRONT ROYALE(Block 2,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,2座(帝御•星濤),8 青山公路青山灣段",7281750.0,14250.0,511.0,4622310.0,15939.0,290.0,4524177.0,15547.0,291.0,3766392.0,17437.0,216.0,7151004.0,14714.0,486.0,4351200.0,14504.0,300.0,4859352.0,14998.0,324.0,5345088.0,15908.0,336.0,5499238.0,15361.0,358.0,4815524.0,15484.0,311.0,4755430.0,15490.0,307.0,5066704.0,16136.0,314.0,4775666.0,15866.0,301.0,4130719.9999999995,18776.0,220.0,6214140.0,15010.0,414.0,6160960.0,14810.0,416.0,4869100.0,16790.0,290.0,4747880.0,16372.0,290.0,,0.0103170762421958,0.01031376225940206
2020-4-15,5110421.777777778,15583.277777777777,"STARFRONT ROYALE(Block 2,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,2座(帝御•星濤),8 青山公路青山灣段",7207144.0,14104.0,511.0,4574750.0,15775.0,290.0,4477908.0,15388.0,291.0,3727727.9999999995,17258.0,216.0,7077618.0,14563.0,486.0,4307400.0,14358.0,300.0,4809780.0,14845.0,324.0,5290320.0,15745.0,336.0,5443032.0,15204.0,358.0,4765764.0,15324.0,311.0,4707538.0,15334.0,307.0,5014266.0,15969.0,314.0,4727506.0,15706.0,301.0,4088479.9999999995,18584.0,220.0,6150384.0,14856.0,414.0,6098144.0,14659.0,416.0,4819510.0,16619.0,290.0,4700320.0,16208.0,290.0,,0.008395178129027459,0.008368952910260186
2020-3-15,5067876.055555556,15453.944444444445,"STARFRONT ROYALE(Block 2,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,2座(帝御•星濤),8 青山公路青山灣段",7154000.0,14000.0,511.0,4540820.0,15658.0,290.0,4445025.0,15275.0,291.0,3700080.0000000005,17130.0,216.0,7025130.0,14455.0,486.0,4276200.0,14254.0,300.0,4774140.0,14735.0,324.0,5163984.0,15369.0,336.0,5402578.0,15091.0,358.0,4729999.0,15209.0,311.0,4673461.0,15223.0,307.0,4976586.0,15849.0,314.0,4693192.0,15592.0,301.0,4058120.0000000005,18446.0,220.0,6104844.0,14746.0,414.0,6052800.0,14550.0,416.0,4784420.0,16498.0,290.0,4666390.0,16091.0,290.0,,-0.031506154328847846,-0.03150883814205785
2020-2-15,5232739.555555556,15956.722222222223,"STARFRONT ROYALE(Block 2,Phase 2,THE ROYALE),8 CASTLE PEAK RD CASTLE PEAK BAY|帝御,2期,2座(帝御•星濤),8 青山公路青山灣段",7386505.0,14455.0,511.0,4688140.0,16166.0,290.0,4589361.0,15771.0,291.0,3820391.9999999995,17687.0,216.0,7253064.0,14924.0,486.0,4415700.0,14719.0,300.0,4929660.0,15215.0,324.0,5331648.0,15868.0,336.0,5578356.0,15582.0,358.0,4883322.0,15702.0,311.0,4826347.0,15721.0,307.0,5137668.0,16362.0,314.0,4846401.0,16101.0,301.0,4190120.0,19046.0,220.0,6303564.0,15226.0,414.0,6249984.0,15024.0,416.0,4940150.0,17035.0,290.0,4818930.0,16617.0,290.0,,0.006875850295976704,0.006870900683935144
