,1,2,3,4,5,6,7,8,A,B,C,D,E,F
8.0,14158,16419,15752,16350,16486,16168,15913,15967,15335,16102,14701,16093,16133,16377
14.0,14987,17059,16035,15825,16524,16104,19435,16744,15026,16737,15048,16875,16235,17968
20.0,14501,17653,16521,15125,16730,16513,20128,21061,15463,16671,15283,17463,16799,21061
