,1,2,3,4,5,6,7,8,A,B,C,D,E,F
8.0,7999270,4400292,5513200,5150250,4698510,4607880,4614770,4470760,4370475,4589070,5380566,4425575,4678570,4585560
14.0,8467655,4571812,5612250,4984875,4709340,4589640,3887000,4688320,4537852,4770045,5507568,4640625,4870500,5031040
20.0,7323005,4731004,5782350,6957500,5102650,5036465,4025600,4001590,4716215,5084655,6189615,4802325,5039700,4001590
