,1,2,3,4,5,6,7,8,whole floor
4.0,5026325,4662900,4662900,5116815,6005340,5279330,4890080,4620170,4662900
8.0,5161680,4788135,6230070,5270760,6163245,5364130,4579120,4730035,4788135
12.0,4865210,4970940,4913370,5421735,6320160,5500870,6009700,4922390,4913370
